cat,group,date,oil,water,liquid,bhp,status,start_lag,coef,is_base
P1,P,26,-0.0004730789108654,-0.0018503687475961,-0.0023234476584616,20000000.0,1.0,19.0,0.42,False
P2,P,26,-0.0003191483242056,-0.0027885249747031,-0.0031076732989088,20000000.0,1.0,19.0,0.42,False
I1,I,26,,0.002533,0.002533,36155806.50767432,1.0,19.0,0.42,False
I2,I,26,,0.001267,0.001267,32463007.610291246,1.0,19.0,0.42,False
I3,I,26,,0.001596,0.001596,33299460.97804246,1.0,19.0,0.42,False
P1,P,27,-0.0004454199274518,-0.0018844213005617,-0.0023298412280136,20000000.0,1.0,19.0,0.42,False
P2,P,27,-0.0003013598055346,-0.0027945877535699,-0.0030959475591046,20000000.0,1.0,19.0,0.42,False
I1,I,27,,0.002533,0.002533,35925048.28930683,1.0,19.0,0.42,False
I2,I,27,,0.001267,0.001267,32251137.243248712,1.0,19.0,0.42,False
I3,I,27,,0.001596,0.001596,33073314.790425114,1.0,19.0,0.42,False
P1,P,28,-0.000420812372949,-0.0019154445778244,-0.0023362569507734,20000000.0,1.0,19.0,0.42,False
P2,P,28,-0.0002852826584307,-0.0027993722817996,-0.0030846549402304,20000000.0,1.0,19.0,0.42,False
I1,I,28,,0.002533,0.002533,35711021.11929266,1.0,19.0,0.42,False
I2,I,28,,0.001267,0.001267,32054894.325126067,1.0,19.0,0.42,False
I3,I,28,,0.001596,0.001596,32864620.64908412,1.0,19.0,0.42,False
P1,P,29,-0.0003987532620098,-0.0019437712077456,-0.0023425244697555,20000000.0,1.0,19.0,0.42,False
P2,P,29,-0.0002706869680424,-0.0028033351856267,-0.0030740221536691,20000000.0,1.0,19.0,0.42,False
I1,I,29,,0.002533,0.002533,35512616.02773306,1.0,19.0,0.42,False
I2,I,29,,0.001267,0.001267,31873204.08242741,1.0,19.0,0.42,False
I3,I,29,,0.001596,0.001596,32671910.81831729,1.0,19.0,0.42,False
P1,P,0,-0.0016212793357458,0.0,-0.0016212793357458,20000000.0,1.0,21.0,0.42,False
P2,P,0,-0.0019034995257132,0.0,-0.0019034995257132,20000000.0,1.0,21.0,0.42,False
I1,I,0,,0.002533,0.002533,40189871.29720092,1.0,21.0,0.42,False
I2,I,0,,0.001267,0.001267,36654942.34321034,1.0,21.0,0.42,False
I3,I,0,,,,,0.0,21.0,0.42,False
P1,P,1,-0.001501636314723,0.0,-0.001501636314723,20000000.0,1.0,21.0,0.42,False
P2,P,1,-0.0017470400237067,0.0,-0.0017470400237067,20000000.0,1.0,21.0,0.42,False
I1,I,1,,0.002533,0.002533,40242918.4566048,1.0,21.0,0.42,False
I2,I,1,,0.001267,0.001267,36663866.639836974,1.0,21.0,0.42,False
I3,I,1,,,,,0.0,21.0,0.42,False
P1,P,2,-0.001492829541189,0.0,-0.001492829541189,20000000.0,1.0,21.0,0.42,False
P2,P,2,-0.0017249606375624,0.0,-0.0017249606375624,20000000.0,1.0,21.0,0.42,False
I1,I,2,,0.002533,0.002533,40580299.81507061,1.0,21.0,0.42,False
I2,I,2,,0.001267,0.001267,36899162.93818008,1.0,21.0,0.42,False
I3,I,2,,,,,0.0,21.0,0.42,False
P1,P,3,-0.001512521867102,0.0,-0.001512521867102,20000000.0,1.0,21.0,0.42,False
P2,P,3,-0.0017402735244416,0.0,-0.0017402735244416,20000000.0,1.0,21.0,0.42,False
I1,I,3,,0.002533,0.002533,40828910.958140165,1.0,21.0,0.42,False
I2,I,3,,0.001267,0.001267,37084216.90147405,1.0,21.0,0.42,False
I3,I,3,,,,,0.0,21.0,0.42,False
P1,P,4,-0.0015405344529416,0.0,-0.0015405344529416,20000000.0,1.0,21.0,0.42,False
P2,P,4,-0.0017687754075148,0.0,-0.0017687754075148,20000000.0,1.0,21.0,0.42,False
I1,I,4,,0.002533,0.002533,41008433.46151792,1.0,21.0,0.42,False
I2,I,4,,0.001267,0.001267,37226562.687533855,1.0,21.0,0.42,False
I3,I,4,,,,,0.0,21.0,0.42,False
P1,P,5,-0.0016533132031781,0.0,-0.0016533132031781,20000000.0,1.0,21.0,0.42,False
P2,P,5,-0.001768083750664,-6.397042410441913e-05,-0.0018320541747684,20000000.0,1.0,21.0,0.42,False
I1,I,5,,0.002533,0.002533,41577600.23982868,1.0,21.0,0.42,False
I2,I,5,,0.001267,0.001267,37735735.87040266,1.0,21.0,0.42,False
I3,I,5,,,,,0.0,21.0,0.42,False
P1,P,6,-0.0017244038092041,0.0,-0.0017244038092041,20000000.0,1.0,21.0,0.42,False
